mode: set
go-php/cmd/server/main.go:65.54,68.62 2 1
go-php/cmd/server/main.go:223.2,224.32 2 1
go-php/cmd/server/main.go:224.32,226.3 1 0
go-php/cmd/server/main.go:227.2,227.16 1 1
go-php/cmd/server/main.go:227.16,229.3 1 1
go-php/cmd/server/main.go:232.2,232.75 1 1
go-php/cmd/server/main.go:232.75,233.74 1 1
go-php/cmd/server/main.go:233.74,235.4 1 1
go-php/cmd/server/main.go:235.9,237.4 1 1
go-php/cmd/server/main.go:241.2,241.43 1 1
go-php/cmd/server/main.go:241.43,243.3 1 1
go-php/cmd/server/main.go:245.2,246.16 2 1
go-php/cmd/server/main.go:246.16,248.3 1 0
go-php/cmd/server/main.go:249.2,253.16 3 1
go-php/cmd/server/main.go:253.16,255.3 1 0
go-php/cmd/server/main.go:257.2,263.3 1 1
go-php/cmd/server/main.go:267.44,270.9 2 1
go-php/cmd/server/main.go:271.40,273.35 1 1
go-php/cmd/server/main.go:276.45,278.31 1 1
go-php/cmd/server/main.go:280.10,282.40 1 1
go-php/cmd/server/main.go:287.57,291.2 3 1
go-php/cmd/server/main.go:299.30,301.16 2 1
go-php/cmd/server/main.go:301.16,303.3 1 0
go-php/cmd/server/main.go:305.2,306.6 2 1
go-php/cmd/server/main.go:306.6,307.66 1 1
go-php/cmd/server/main.go:307.66,309.4 1 1
go-php/cmd/server/main.go:310.3,311.20 2 1
go-php/cmd/server/main.go:311.20,313.4 1 0
go-php/cmd/server/main.go:314.3,314.15 1 1
go-php/cmd/server/main.go:324.13,341.16 5 0
go-php/cmd/server/main.go:341.16,343.3 1 0
go-php/cmd/server/main.go:345.2,353.43 4 0
go-php/cmd/server/main.go:353.43,356.4 1 0
go-php/cmd/server/main.go:359.2,359.76 1 0
go-php/cmd/server/main.go:359.76,361.33 2 0
go-php/cmd/server/main.go:361.33,364.4 2 0
go-php/cmd/server/main.go:366.3,369.17 3 0
go-php/cmd/server/main.go:369.17,372.4 2 0
go-php/cmd/server/main.go:374.3,382.13 5 0
go-php/cmd/server/main.go:382.13,385.33 2 0
go-php/cmd/server/main.go:385.33,386.47 1 0
go-php/cmd/server/main.go:386.47,389.6 2 0
go-php/cmd/server/main.go:394.3,394.7 1 0
go-php/cmd/server/main.go:394.7,396.51 2 0
go-php/cmd/server/main.go:396.51,401.7 1 0
go-php/cmd/server/main.go:401.7,403.6 1 0
go-php/cmd/server/main.go:404.5,405.11 2 0
go-php/cmd/server/main.go:409.4,409.46 1 0
go-php/cmd/server/main.go:413.2,416.74 2 0
go-php/cmd/server/main.go:416.74,423.21 5 0
go-php/cmd/server/main.go:423.21,425.4 1 0
go-php/cmd/server/main.go:427.3,429.56 2 0
go-php/cmd/server/main.go:429.56,435.4 5 0
go-php/cmd/server/main.go:437.3,441.99 4 0
go-php/cmd/server/main.go:444.2,444.71 1 0
go-php/cmd/server/main.go:444.71,446.20 2 0
go-php/cmd/server/main.go:446.20,449.4 2 0
go-php/cmd/server/main.go:451.3,452.17 2 0
go-php/cmd/server/main.go:452.17,455.4 2 0
go-php/cmd/server/main.go:457.3,464.13 5 0
go-php/cmd/server/main.go:464.13,466.33 2 0
go-php/cmd/server/main.go:466.33,468.47 1 0
go-php/cmd/server/main.go:468.47,471.6 2 0
go-php/cmd/server/main.go:477.3,477.7 1 0
go-php/cmd/server/main.go:477.7,479.51 2 0
go-php/cmd/server/main.go:479.51,484.7 1 0
go-php/cmd/server/main.go:484.7,486.6 1 0
go-php/cmd/server/main.go:487.5,488.11 2 0
go-php/cmd/server/main.go:491.4,491.46 1 0
go-php/cmd/server/main.go:495.2,495.79 1 0
go-php/cmd/server/main.go:495.79,496.34 1 0
go-php/cmd/server/main.go:496.34,499.4 2 0
go-php/cmd/server/main.go:501.3,506.63 2 0
go-php/cmd/server/main.go:506.63,509.4 2 0
go-php/cmd/server/main.go:510.3,510.25 1 0
go-php/cmd/server/main.go:510.25,513.4 2 0
go-php/cmd/server/main.go:515.3,516.37 2 0
go-php/cmd/server/main.go:520.2,520.67 1 0
go-php/cmd/server/main.go:520.67,522.45 1 0
go-php/cmd/server/main.go:522.45,524.4 1 0
go-php/cmd/server/main.go:527.3,532.21 4 0
go-php/cmd/server/main.go:532.21,534.4 1 0
go-php/cmd/server/main.go:535.3,538.41 2 0
go-php/cmd/server/main.go:538.41,539.57 1 0
go-php/cmd/server/main.go:539.57,545.5 5 0
go-php/cmd/server/main.go:547.4,551.10 5 0
go-php/cmd/server/main.go:555.3,556.17 2 0
go-php/cmd/server/main.go:556.17,562.4 5 0
go-php/cmd/server/main.go:565.3,565.41 1 0
go-php/cmd/server/main.go:565.41,566.46 1 0
go-php/cmd/server/main.go:566.46,570.5 3 0
go-php/cmd/server/main.go:574.3,574.34 1 0
go-php/cmd/server/main.go:574.34,576.4 1 0
go-php/cmd/server/main.go:579.3,580.18 2 0
go-php/cmd/server/main.go:580.18,582.4 1 0
go-php/cmd/server/main.go:583.3,602.24 6 0
go-php/cmd/server/main.go:606.2,606.85 1 0
go-php/cmd/server/main.go:606.85,609.60 3 0
go-php/cmd/server/main.go:609.60,612.4 2 0
go-php/cmd/server/main.go:616.2,616.86 1 0
go-php/cmd/server/main.go:616.86,617.34 1 0
go-php/cmd/server/main.go:617.34,620.4 2 0
go-php/cmd/server/main.go:622.3,628.5 3 0
go-php/cmd/server/main.go:632.2,632.86 1 0
go-php/cmd/server/main.go:632.86,635.57 3 0
go-php/cmd/server/main.go:635.57,637.4 1 0
go-php/cmd/server/main.go:640.2,640.72 1 0
go-php/cmd/server/main.go:640.72,642.10 2 0
go-php/cmd/server/main.go:642.10,645.4 2 0
go-php/cmd/server/main.go:647.3,648.20 2 0
go-php/cmd/server/main.go:648.20,651.4 2 0
go-php/cmd/server/main.go:653.3,664.7 8 0
go-php/cmd/server/main.go:664.7,665.11 1 0
go-php/cmd/server/main.go:666.29,667.23 1 0
go-php/cmd/server/main.go:667.23,669.6 1 0
go-php/cmd/server/main.go:670.5,673.20 4 0
go-php/cmd/server/main.go:674.30,675.11 1 0
go-php/cmd/server/main.go:676.25,677.11 1 0
go-php/cmd/server/main.go:684.2,684.80 1 0
go-php/cmd/server/main.go:684.80,685.34 1 0
go-php/cmd/server/main.go:685.34,688.4 2 0
go-php/cmd/server/main.go:690.3,695.63 2 0
go-php/cmd/server/main.go:695.63,698.4 2 0
go-php/cmd/server/main.go:700.3,700.25 1 0
go-php/cmd/server/main.go:700.25,703.4 2 0
go-php/cmd/server/main.go:705.3,706.37 2 0
go-php/cmd/server/main.go:710.2,710.19 1 0
go-php/cmd/server/main.go:710.19,711.51 1 0
go-php/cmd/server/main.go:711.51,713.4 1 0
go-php/cmd/server/main.go:713.9,715.4 1 0
go-php/cmd/server/main.go:719.2,720.16 2 0
go-php/cmd/server/main.go:720.16,722.3 1 0
go-php/cmd/server/main.go:724.2,733.12 4 0
go-php/cmd/server/main.go:733.12,744.47 6 0
go-php/cmd/server/main.go:744.47,746.4 1 0
go-php/cmd/server/main.go:746.9,748.4 1 0
go-php/cmd/server/main.go:752.2,760.34 9 0
go-php/cmd/server/main.go:760.34,762.3 1 0
go-php/cmd/server/main.go:763.2,766.80 2 0
go-php/cmd/server/main.go:766.80,768.3 1 0
go-php/cmd/server/main.go:791.39,810.2 1 1
go-php/cmd/server/main.go:814.54,818.16 3 1
go-php/cmd/server/main.go:818.16,821.3 2 1
go-php/cmd/server/main.go:823.2,824.51 2 1
go-php/cmd/server/main.go:824.51,827.3 2 1
go-php/cmd/server/main.go:830.2,838.26 2 1
go-php/cmd/server/main.go:838.26,841.3 2 1
go-php/cmd/server/main.go:843.2,843.25 1 1
go-php/cmd/server/main.go:843.25,846.3 2 1
go-php/cmd/server/main.go:848.2,848.31 1 1
go-php/cmd/server/main.go:848.31,851.3 2 1
go-php/cmd/server/main.go:853.2,853.35 1 1
go-php/cmd/server/main.go:853.35,856.3 2 1
go-php/cmd/server/main.go:863.2,863.26 1 1
go-php/cmd/server/main.go:863.26,866.3 2 0
go-php/cmd/server/main.go:866.8,867.35 1 1
go-php/cmd/server/main.go:867.35,868.44 1 1
go-php/cmd/server/main.go:868.44,871.5 2 1
go-php/cmd/server/main.go:873.4,873.22 1 1
go-php/cmd/server/main.go:873.22,875.5 1 1
go-php/cmd/server/main.go:886.2,886.30 1 1
go-php/cmd/server/main.go:886.30,889.3 2 1
go-php/cmd/server/main.go:892.2,892.31 1 1
go-php/cmd/server/main.go:892.31,895.3 2 1
go-php/cmd/server/main.go:898.2,898.32 1 1
go-php/cmd/server/main.go:898.32,901.3 2 1
go-php/cmd/server/main.go:902.2,902.13 1 1
go-php/server/pool.go:19.93,22.29 2 1
go-php/server/pool.go:22.29,24.17 2 1
go-php/server/pool.go:24.17,26.4 1 0
go-php/server/pool.go:27.3,27.31 1 1
go-php/server/pool.go:30.2,32.8 1 1
go-php/server/pool.go:35.78,37.14 2 1
go-php/server/pool.go:37.14,39.3 1 0
go-php/server/pool.go:41.2,41.22 1 1
go-php/server/pool.go:43.40,45.14 2 1
go-php/server/pool.go:45.14,47.3 1 0
go-php/server/pool.go:49.2,50.30 2 1
go-php/server/pool.go:50.30,51.29 1 1
go-php/server/pool.go:51.29,53.4 1 1
go-php/server/pool.go:56.2,56.14 1 1
go-php/server/pool.go:59.43,64.12 4 1
go-php/server/pool.go:64.12,66.3 1 1
go-php/server/pool.go:68.2,68.25 1 1
go-php/server/pool.go:68.25,71.49 3 1
go-php/server/pool.go:71.49,73.4 1 1
go-php/server/pool.go:75.2,75.12 1 0
go-php/server/pool.go:78.33,81.30 3 1
go-php/server/pool.go:81.30,82.30 1 1
go-php/server/pool.go:82.30,84.4 1 1
go-php/server/pool.go:89.82,94.9 4 1
go-php/server/pool.go:95.22,96.13 1 0
go-php/server/pool.go:97.21,99.34 1 1
go-php/server/pool.go:99.34,100.27 1 1
go-php/server/pool.go:100.27,102.5 1 1
go-php/server/pool.go:104.3,105.24 2 1
go-php/server/pool.go:105.24,107.4 1 0
go-php/server/pool.go:108.3,108.13 1 1
go-php/server/pool.go:109.10,110.34 1 1
go-php/server/pool.go:110.34,112.18 2 1
go-php/server/pool.go:112.18,114.5 1 0
go-php/server/pool.go:115.4,115.36 1 1
go-php/server/pool.go:117.3,117.13 1 1
go-php/server/server.go:47.129,49.16 2 1
go-php/server/server.go:49.16,51.3 1 0
go-php/server/server.go:53.2,54.16 2 1
go-php/server/server.go:54.16,56.3 1 0
go-php/server/server.go:59.2,59.32 1 1
go-php/server/server.go:59.32,61.3 1 1
go-php/server/server.go:63.2,63.31 1 1
go-php/server/server.go:63.31,65.3 1 1
go-php/server/server.go:67.2,72.8 1 1
go-php/server/server.go:76.56,78.49 1 1
go-php/server/server.go:78.49,79.56 1 1
go-php/server/server.go:79.56,81.4 1 1
go-php/server/server.go:85.2,85.74 1 1
go-php/server/server.go:85.74,87.3 1 1
go-php/server/server.go:90.2,91.38 2 1
go-php/server/server.go:91.38,92.35 1 1
go-php/server/server.go:92.35,94.4 1 1
go-php/server/server.go:97.2,97.14 1 1
go-php/server/server.go:100.41,105.2 1 1
go-php/server/server.go:107.62,110.36 2 1
go-php/server/server.go:110.36,112.18 2 1
go-php/server/server.go:112.18,114.4 1 1
go-php/server/server.go:117.2,121.15 4 1
go-php/server/server.go:121.15,124.3 2 1
go-php/server/server.go:126.2,130.20 3 1
go-php/server/server.go:130.20,132.61 2 1
go-php/server/server.go:132.61,135.4 2 1
go-php/server/server.go:140.52,141.44 1 1
go-php/server/server.go:141.44,142.18 1 1
go-php/server/server.go:142.18,144.4 1 1
go-php/server/server.go:147.2,147.14 1 1
go-php/server/server.go:150.74,151.26 1 1
go-php/server/server.go:151.26,153.3 1 1
go-php/server/server.go:154.2,154.33 1 1
go-php/server/server.go:157.84,159.26 2 1
go-php/server/server.go:159.26,161.3 1 0
go-php/server/server.go:161.8,163.3 1 1
go-php/server/server.go:165.2,166.14 2 1
go-php/server/server.go:166.14,169.3 1 1
go-php/server/server.go:171.2,171.26 1 0
go-php/server/server.go:179.39,180.39 1 1
go-php/server/server.go:180.39,182.3 1 1
go-php/server/server.go:183.2,183.39 1 1
go-php/server/server.go:183.39,185.3 1 1
go-php/server/server.go:188.40,190.2 1 1
go-php/server/server.go:192.33,195.2 2 0
go-php/server/server.go:199.60,201.16 2 1
go-php/server/server.go:201.16,203.3 1 0
go-php/server/server.go:206.2,211.32 2 1
go-php/server/server.go:211.32,213.34 2 1
go-php/server/server.go:213.34,214.12 1 1
go-php/server/server.go:216.3,216.42 1 1
go-php/server/server.go:216.42,218.4 1 0
go-php/server/server.go:218.9,220.4 1 1
go-php/server/server.go:223.2,223.12 1 1
go-php/server/server.go:223.12,224.7 1 1
go-php/server/server.go:224.7,225.11 1 1
go-php/server/server.go:226.36,227.12 1 1
go-php/server/server.go:227.12,229.6 1 0
go-php/server/server.go:230.5,230.84 1 1
go-php/server/server.go:230.84,233.6 2 1
go-php/server/server.go:235.37,236.12 1 0
go-php/server/server.go:236.12,238.6 1 0
go-php/server/server.go:239.5,239.50 1 0
go-php/server/server.go:244.2,244.12 1 1
go-php/server/sse.go:21.42,23.2 1 0
go-php/server/sse.go:26.44,28.2 1 0
go-php/server/sse.go:37.26,45.2 3 1
go-php/server/sse.go:47.24,48.29 1 1
go-php/server/sse.go:48.29,51.23 3 1
go-php/server/sse.go:51.23,52.11 1 1
go-php/server/sse.go:53.20,53.20 0 1
go-php/server/sse.go:54.12,54.12 0 0
go-php/server/sse.go:59.3,59.17 1 1
go-php/server/sse.go:64.55,73.31 4 1
go-php/server/sse.go:73.31,75.3 1 1
go-php/server/sse.go:76.2,77.10 2 1
go-php/server/sse.go:81.60,86.17 4 1
go-php/server/sse.go:86.17,88.3 1 0
go-php/server/sse.go:90.2,92.20 3 1
go-php/server/sse.go:92.20,94.3 1 1
go-php/server/sse.go:98.62,100.16 2 1
go-php/server/sse.go:100.16,103.3 2 1
go-php/server/sse.go:104.2,108.3 1 1
go-php/server/worker.go:47.80,49.16 2 1
go-php/server/worker.go:49.16,51.3 1 0
go-php/server/worker.go:53.2,54.6 2 1
go-php/server/worker.go:54.6,55.70 1 1
go-php/server/worker.go:55.70,56.9 1 1
go-php/server/worker.go:58.3,59.24 2 1
go-php/server/worker.go:59.24,60.9 1 0
go-php/server/worker.go:62.3,62.19 1 1
go-php/server/worker.go:65.2,71.16 5 1
go-php/server/worker.go:71.16,73.3 1 0
go-php/server/worker.go:75.2,76.16 2 1
go-php/server/worker.go:76.16,79.3 2 0
go-php/server/worker.go:81.2,83.36 2 1
go-php/server/worker.go:83.36,87.3 3 0
go-php/server/worker.go:89.2,98.8 1 1
go-php/server/worker.go:101.32,106.2 4 1
go-php/server/worker.go:108.29,116.2 6 1
go-php/server/worker.go:118.46,122.2 3 1
go-php/server/worker.go:124.41,129.2 4 0
go-php/server/worker.go:131.33,135.2 3 1
go-php/server/worker.go:137.33,139.20 2 1
go-php/server/worker.go:139.20,141.3 1 1
go-php/server/worker.go:142.2,142.20 1 1
go-php/server/worker.go:145.36,150.2 4 1
go-php/server/worker.go:152.34,154.27 2 1
go-php/server/worker.go:154.27,156.3 1 1
go-php/server/worker.go:157.2,157.20 1 1
go-php/server/worker.go:160.36,165.2 4 1
go-php/server/worker.go:167.34,171.20 3 1
go-php/server/worker.go:171.20,173.3 1 1
go-php/server/worker.go:174.2,174.21 1 1
go-php/server/worker.go:174.21,176.3 1 1
go-php/server/worker.go:177.2,177.42 1 1
go-php/server/worker.go:177.42,180.3 2 0
go-php/server/worker.go:182.2,187.16 5 1
go-php/server/worker.go:187.16,189.3 1 0
go-php/server/worker.go:191.2,192.16 2 1
go-php/server/worker.go:192.16,195.3 2 0
go-php/server/worker.go:197.2,199.36 2 1
go-php/server/worker.go:199.36,203.3 3 0
go-php/server/worker.go:205.2,222.12 13 1
go-php/server/worker.go:225.76,226.16 1 1
go-php/server/worker.go:226.16,228.3 1 0
go-php/server/worker.go:231.2,231.20 1 1
go-php/server/worker.go:231.20,233.3 1 0
go-php/server/worker.go:235.2,237.15 3 1
go-php/server/worker.go:237.15,239.45 2 1
go-php/server/worker.go:239.45,242.4 1 0
go-php/server/worker.go:242.9,242.25 1 1
go-php/server/worker.go:242.25,244.4 1 1
go-php/server/worker.go:247.2,247.43 1 1
go-php/server/worker.go:247.43,248.17 1 1
go-php/server/worker.go:248.17,249.38 1 1
go-php/server/worker.go:249.38,251.5 1 0
go-php/server/worker.go:254.3,255.17 2 1
go-php/server/worker.go:255.17,256.25 1 1
go-php/server/worker.go:256.25,258.13 2 1
go-php/server/worker.go:260.4,260.19 1 1
go-php/server/worker.go:264.3,265.51 2 1
go-php/server/worker.go:265.51,267.4 1 0
go-php/server/worker.go:269.3,269.19 1 1
go-php/server/worker.go:272.2,272.33 1 0
go-php/server/worker.go:275.35,276.16 1 1
go-php/server/worker.go:276.16,278.3 1 1
go-php/server/worker.go:279.2,284.39 2 1
go-php/server/worker.go:287.83,292.16 4 1
go-php/server/worker.go:292.16,294.3 1 0
go-php/server/worker.go:295.2,300.49 4 1
go-php/server/worker.go:300.49,302.3 1 0
go-php/server/worker.go:303.2,303.52 1 1
go-php/server/worker.go:303.52,305.3 1 0
go-php/server/worker.go:307.2,314.12 3 1
go-php/server/worker.go:314.12,317.55 2 1
go-php/server/worker.go:317.55,320.4 2 1
go-php/server/worker.go:322.3,324.45 2 1
go-php/server/worker.go:324.45,327.4 2 0
go-php/server/worker.go:329.3,330.60 2 1
go-php/server/worker.go:330.60,333.4 2 0
go-php/server/worker.go:335.3,336.57 2 1
go-php/server/worker.go:336.57,339.4 2 0
go-php/server/worker.go:341.3,341.30 1 1
go-php/server/worker.go:344.2,344.26 1 1
go-php/server/worker.go:344.26,345.10 1 1
go-php/server/worker.go:346.23,347.28 1 1
go-php/server/worker.go:348.39,351.44 2 1
go-php/server/worker.go:351.44,354.5 2 1
go-php/server/worker.go:355.4,355.79 1 1
go-php/server/worker.go:359.2,360.26 2 0
go-php/server/worker.go:364.76,365.34 1 1
go-php/server/worker.go:365.34,367.3 1 0
go-php/server/worker.go:369.2,371.15 3 1
go-php/server/worker.go:371.15,373.45 2 1
go-php/server/worker.go:373.45,375.4 1 0
go-php/server/worker.go:375.9,375.25 1 1
go-php/server/worker.go:375.25,377.4 1 1
go-php/server/worker.go:380.2,386.12 3 1
go-php/server/worker.go:386.12,388.3 1 1
go-php/server/worker.go:390.2,390.26 1 1
go-php/server/worker.go:390.26,391.10 1 0
go-php/server/worker.go:392.23,393.18 1 0
go-php/server/worker.go:394.39,397.44 2 0
go-php/server/worker.go:397.44,400.5 2 0
go-php/server/worker.go:401.4,401.73 1 0
go-php/server/worker.go:405.2,406.16 2 1
go-php/server/worker.go:410.84,414.16 3 1
go-php/server/worker.go:414.16,415.37 1 0
go-php/server/worker.go:415.37,417.4 1 0
go-php/server/worker.go:421.2,422.16 2 1
go-php/server/worker.go:422.16,424.3 1 0
go-php/server/worker.go:425.2,430.49 4 1
go-php/server/worker.go:430.49,432.3 1 0
go-php/server/worker.go:433.2,433.52 1 1
go-php/server/worker.go:433.52,435.3 1 0
go-php/server/worker.go:437.2,440.6 3 1
go-php/server/worker.go:440.6,443.55 2 1
go-php/server/worker.go:443.55,446.4 2 0
go-php/server/worker.go:448.3,450.47 2 1
go-php/server/worker.go:450.47,453.4 2 0
go-php/server/worker.go:456.3,457.61 2 1
go-php/server/worker.go:457.61,460.4 2 0
go-php/server/worker.go:462.3,463.59 2 1
go-php/server/worker.go:463.59,466.4 2 0
go-php/server/worker.go:468.3,468.21 1 1
go-php/server/worker.go:469.18,470.28 1 1
go-php/server/worker.go:470.28,471.38 1 1
go-php/server/worker.go:471.38,472.22 1 1
go-php/server/worker.go:472.22,473.15 1 1
go-php/server/worker.go:476.6,476.44 1 1
go-php/server/worker.go:476.44,478.28 1 1
go-php/server/worker.go:478.28,480.8 1 1
go-php/server/worker.go:481.12,484.7 1 1
go-php/server/worker.go:488.4,488.25 1 1
go-php/server/worker.go:488.25,490.5 1 1
go-php/server/worker.go:491.4,494.24 3 1
go-php/server/worker.go:494.24,495.59 1 1
go-php/server/worker.go:495.59,497.6 1 0
go-php/server/worker.go:498.5,498.39 1 1
go-php/server/worker.go:498.39,500.6 1 1
go-php/server/worker.go:503.16,504.20 1 1
go-php/server/worker.go:504.20,507.5 2 1
go-php/server/worker.go:508.4,508.24 1 1
go-php/server/worker.go:508.24,509.59 1 1
go-php/server/worker.go:509.59,511.6 1 0
go-php/server/worker.go:512.5,512.39 1 1
go-php/server/worker.go:512.39,514.6 1 1
go-php/server/worker.go:517.14,519.14 1 1
go-php/server/worker.go:521.16,522.66 1 1
go-php/server/worker.go:524.11,525.66 1 1
go-php/server/ws.go:25.24,29.2 1 1
go-php/server/ws.go:32.53,40.31 4 1
go-php/server/ws.go:40.31,42.3 1 1
go-php/server/ws.go:43.2,44.10 2 1
go-php/server/ws.go:48.58,53.17 4 1
go-php/server/ws.go:53.17,55.3 1 0
go-php/server/ws.go:57.2,59.20 3 1
go-php/server/ws.go:59.20,61.3 1 1
go-php/server/ws.go:65.63,67.16 2 1
go-php/server/ws.go:67.16,70.3 2 0
go-php/server/ws.go:72.2,80.22 4 1
go-php/server/ws.go:80.22,81.10 1 1
go-php/server/ws.go:82.21,82.21 0 1
go-php/server/ws.go:84.11,84.11 0 1
go-php/server/ws.go:90.2,90.16 1 1
